Job Title,Salary,Requirements,Company,Location,Industry,Company Size,Education,Job Type,Posted Date,Job Link
MECHANICAL FOREMAN,Salary not specified,"•	Graduate of Automotive Course•	With at least 3 years experience as a Service Technician in a 3 to 5 Star Automotive shop•	Certified Toyota Technician, preferably Diagnostic Technician level, with leadership skills, •	With at least 3 years experience as a Service Technician in a 3 to 5 Star Automotive shop, •	Certified Toyota Technician, preferably Diagnostic Technician level, with leadership skills, ",TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/mechanical-foreman-1049003
CREDIT AND COLLECTION CLERK,Salary not specified,College Graduate preferably business courseTwo years related experienceComputer Literate; organized; multitasking; above average communication skills.,TOYOTA SHAW INC.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),Educ level not specified,Job type not specified,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/credit-and-collection-clerk-1049002
MARKETING SPECIALIST,Salary not specified,"-Link-building (internal and external)/inbound marketing experience is highly preferable.-Responsible for the overall gains the SEO will achieve using any white hat tactics available.-Collaborate with content, design, data, social and strategy teams-Conducting technical audits and managing with the dev team the solution to any issues that arise.-Develop comprehensive SEO strategies that include keyword research, meta info, and tech recommendations on the sites.-Monthly reporting on keyword progress.- Ideally, you possess 2-3 years of experience in successfully rolling out SEO programs, across multiple sites. You will bring examples of how you grew the organic channels you worked in.-Thorough understanding of SEO and understanding of penalties.-Knowledge of features snipped and structured data-Knowledge of GA, SEMrush, and Majestic SEO.-Knowledge of GTM, Search Console, Google Trends, and Ads Keyword Planner.-Knowledge of HTML and CSS fundamentals and content management portals (Experience within would be an advantage.)-On-site work with a negotiated salary.Send your CV to philjobnet@pbibinc.com, -Responsible for the overall gains the SEO will achieve using any white hat tactics available., -Collaborate with content, design, data, social and strategy teams, -Conducting technical audits and managing with the dev team the solution to any issues that arise., -Develop comprehensive SEO strategies that include keyword research, meta info, and tech recommendations on the sites., -Monthly reporting on keyword progress., - Ideally, you possess 2-3 years of experience in successfully rolling out SEO programs, across multiple sites. You will bring examples of how you grew the organic channels you worked in., -Thorough understanding of SEO and understanding of penalties., -Knowledge of features snipped and structured data, -Knowledge of GA, SEMrush, and Majestic SEO., -Knowledge of GTM, Search Console, Google Trends, and Ads Keyword Planner., -Knowledge of HTML and CSS fundamentals and content management portals (Experience within would be an advantage.), -On-site work with a negotiated salary., , Send your CV to philjobnet@pbibinc.com",INSURAPRIME INC,"CARMONA, CAVITE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/marketing-specialist-1048999
CUSTOMER SERVICE ASSISTANT,Salary not specified,"Strong verbal communication and active listening skillsGood Typing skills of at least 40wpm and Above-average typing accuracyProficient in using CRM software and other relevant tools like Microsoft OfficeExceptional time management skills to coordinate tasks seamlessly and meet deadlines.Skilled in internet navigation, adept at utilizing search functionalities and online databases.Self-starter with a proactive mindset, demonstrating determination and enthusiasm in goal pursuit.Candidates with no BPO experience are welcome to apply.Send your CV to philjobnet@pbibinc.com, Good Typing skills of at least 40wpm and Above-average typing accuracy, Proficient in using CRM software and other relevant tools like Microsoft Office, Exceptional time management skills to coordinate tasks seamlessly and meet deadlines., Skilled in internet navigation, adept at utilizing search functionalities and online databases., Self-starter with a proactive mindset, demonstrating determination and enthusiasm in goal pursuit., Candidates with no BPO experience are welcome to apply., , Send your CV to philjobnet@pbibinc.com, , ",INSURAPRIME INC,"CARMONA, CAVITE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),HIGH SCHOOL GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/customer-service-assistant-1048998
CLINIC NURSE,"₱19,555.00","QUALIFICATION AND GUIDELINESEducation   : Registered NurseExperience : At least 6 months work experienceOther Skills : Above average written and verbal communication skills. Personable., , Education   : Registered Nurse, Experience : At least 6 months work experience, Other Skills : Above average written and verbal communication skills. Personable.","MEDICARD PHILIPPINES, INC.","CITY OF MAKATI, NCR, FOURTH DISTRICT",HEALTH AND SOCIAL WORK,200 and over (Large),COLLEGE GRADUATE,Permanent,21 June 2024,https://philjobnet.gov.ph/job-vacancies/job/clinic-nurse-1048997
INFORMATION TECHNOLOGY (IT) SPECIALIST,Salary not specified,"Minimum Competencies:Excellent customer interface skillsGood interpersonal communication skillsStrong communications skills, both written and oralMinimum Qualifications:Candidate must possess at least Bachelor's in Computer Science/Information Technology or equivalentPreferably with 300 to 800++ hours (about 1 month+) internship requirementsWilling to be assigned in multiple locationsWilling to work on shifting schedule, Holiday, weekends, and Night shiftNo work experience required., , , , Excellent customer interface skills, Good interpersonal communication skills, Strong communications skills, both written and oral, , , Minimum Qualifications:, , , , Candidate must possess at least Bachelor's in Computer Science/Information Technology or equivalent, Preferably with 300 to 800++ hours (about 1 month+) internship requirements, Willing to be assigned in multiple locations, Willing to work on shifting schedule, Holiday, weekends, and Night shift, No work experience required.",KMC MAG SOLUTIONS,"CITY OF MAKATI, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),Educ level not specified,Internship/OJT,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/information-technology-it-specialist-1048996
MARKETING ASSISTANT,Salary not specified,"Qualifications and Skills:Pursuing or holding a degree in Business, Marketing, Communications, or related field.Strong organizational and communication skills.Ability to work proactively and collaboratively in a team setting.Proficient in Microsoft Office and digital marketing tools.Keen interest in marketing strategies, partnership management, and event planning., , Pursuing or holding a degree in Business, Marketing, Communications, or related field., Strong organizational and communication skills., Ability to work proactively and collaboratively in a team setting., Proficient in Microsoft Office and digital marketing tools., Keen interest in marketing strategies, partnership management, and event planning.",KMC MAG SOLUTIONS,"TAGUIG CITY, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),Educ level not specified,Internship/OJT,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/marketing-assistant-1048995
HUMAN RESOURCE DEVELOPMENT ASSISTANT,Salary not specified,"The main responsibilities of a PEOPLE AND CULTURE DATA MANAGEMENT INTERN include:Job ResponsibilitiesValidate employee information and documents encoded across KMC systemsAssist HR Data Team in troubleshooting HRIS issuesAssist HR Data Team in resolving tickets within assigned SLAAssist HR Data Team in other day-to-day tasks, , Job Responsibilities, , Validate employee information and documents encoded across KMC systems, Assist HR Data Team in troubleshooting HRIS issues, Assist HR Data Team in resolving tickets within assigned SLA, Assist HR Data Team in other day-to-day tasks",KMC MAG SOLUTIONS,"TAGUIG CITY, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),Educ level not specified,Internship/OJT,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-assistant-1048993
PROCUREMENT ASSISTANT,Salary not specified,"Your Success Profile includes:ProactiveGood communication skillsCompetitivePreferably enrolled in any Business Administration courseKnowledgeable in Microsoft Office Application, Proactive, , Good communication skills, , Competitive, , Preferably enrolled in any Business Administration course, , Knowledgeable in Microsoft Office Application, ",KMC MAG SOLUTIONS,"TAGUIG CITY, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),Educ level not specified,Internship/OJT,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/procurement-assistant-1048992
HUMAN RESOURCE DEVELOPMENT ASSISTANT,Salary not specified,"To apply, you must be an expert on the following requirements:Relevant experience in event production including coordination and project managementExcellent writing and communications skills (creativity welcome!)Experience with web and digital content publishing platforms such as SharePoint, Mailchimp, or similar.Skilled with Microsoft Office suitePassion for people and employee experienceIn-depth experience and working knowledge of CanvaStrong attention to detail and proofing capabilityUp to date with trendsIs a fresh thinker who embraces challenges and new methods of thinking, , Relevant experience in event production including coordination and project management, Excellent writing and communications skills (creativity welcome!), Experience with web and digital content publishing platforms such as SharePoint, Mailchimp, or similar., Skilled with Microsoft Office suite, Passion for people and employee experience, In-depth experience and working knowledge of Canva, Strong attention to detail and proofing capability, Up to date with trends, Is a fresh thinker who embraces challenges and new methods of thinking",KMC MAG SOLUTIONS,"TAGUIG CITY, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),Educ level not specified,Internship/OJT,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-assistant-1048991
OFFICE CLEANER,Salary not specified,Qualifications/requirements not specified,NFEZ INC.,"PASACAO, CAMARINES SUR",WHOLESALE AND RETAIL TRADE,100 - 199 (Medium),HIGH SCHOOL GRADUATE,Permanent,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/office-cleaner-1048990
CALL CENTER AGENT,"₱27,000.00","What are we looking for?K12 graduate or completed at least 2 years in collegeWith at least 6 months of sales/insurance/financial experienceExcellent communication skillsExcellent customer service, problem-solving, and multitasking skillsKnowledge in Australian/New Zealand culture is a plusWhat should you expect from us?ibex-clusive Benefits:Work Onsite Allowance*Extensive HMO coverage for you and your dependentsNon-taxable allowance on top of your basic salaryExcellent Program Incentives based on performanceGroup Life Insurance30 Service Incentive Leaves (15 days convertible to cash)How to join our team?1. Click “Apply”2. Visit us at SM Lanang Premier, Fountain Court, J.P. Laurel Ave., Agdao Davao City every Monday to Friday between 10 AM - 5 PM!, How to join our team?, 1. Click “Apply”, 2. Visit us at SM Lanang Premier, Fountain Court, J.P. Laurel Ave., Agdao Davao City every Monday to Friday between 10 AM - 5 PM!","IBEX GLOBAL SOLUTIONS (PHILIPPINES), INC.","DAVAO CITY, DAVAO DEL SUR","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),COLLEGE GRADUATE,Permanent,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/call-center-agent-1048989
PROFESSIONAL NURSE (GENERAL),Salary not specified,"What we look for:Must have an active PRC Nursing LicenseMust be a valid Philippines passport holderPreferrably with at least 6 months of recent hospital bedside care experienceExperience in an Healthcare Account under BPO/CPO industry is an advantageWith excellent Communication, Organizational, Time Management, and Interpersonal skillsMust be amenable for a graveyard shift or any shift scheduleMust be amenable for a temporary work onsite for 5 weeks (Taguig or Cebu)Must be amenable for a temporary work from home afterward","SHEARWATER HEALTH ADVISORS, INC.","TAGUIG CITY, NCR, FOURTH DISTRICT",PUBLIC ADMINISTRATION AND DEFENSE,200 and over (Large),COLLEGE GRADUATE,Permanent,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/professional-nurse-general-1048988
ENGINEERING AIDE,Salary not specified,"Candidate must possess a bachelor’s degree / PRC License in Mechanical, Electrical, or Petroleum EngineeringRelated work experience is an advantage.Must be proficient in MS Offices.Willing to be relocated.",PETRON CORPORATION,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Job type not specified,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/engineering-aide-1048987
ADMINISTRATIVE ASSISTANT,Salary not specified,"•	Must have a Bachelor’s Degree•	Good interpersonal and communication skills•	Must be proficient in Microsoft Office applications, •	Must have a Bachelor’s Degree, •	Good interpersonal and communication skills, •	Must be proficient in Microsoft Office applications, ",PETRON CORPORATION,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/administrative-assistant-1048986
SUPPLY AND EQUIPMENT CLERK,Salary not specified,Must be a licensed chemical engineerMust have Bachelor's Degree in Chemical Engineering,PETRON CORPORATION,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/supply-and-equipment-clerk-1048985
SALES CLERK,₱570.00,"Qualifications:A. Must be physically fitB. Willing to handle tilesC. With sales experienceD. Must be able to lift and carry 25-30kgsE. With a pleasing personality, A. Must be physically fit, B. Willing to handle tiles, C. With sales experience, D. Must be able to lift and carry 25-30kgs, E. With a pleasing personality",ABSOLUTE EMPLOYMENT MANAGEMENT SOLUTIONS (AEMS) INC.,"SANTO TOMAS, BATANGAS",ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,20 June 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-clerk-1048984
