Title,Release,Cast,Genre,Theme,Languages in Movie,Studio,Country Produced
A Fistful of Dollars,1964,"Clint Eastwood, Marianne Koch, Gian Maria Volonté, Wolfgang Lukschy, Sieghardt Rupp, Joseph Egger, Antonio Prieto, José Calvo, Margarita Lozano, Daniel Martín, Benito Stefanelli, Mario Brega, Bruno Carotenuto, Aldo Sambrell, Lorenzo Robledo, Antonio Molino Rojo, Luis Barboo, Juan Cortés, William R. Thompkins, Fernando Sánchez Polack, José Canalejas, Jose Halufi, Nino Del Arco, Antonio Moreno, Frank Braña, Álvaro de Luna, Lee Miller, José Orjas, Manuel Peña, Antonio Pica, Julio Pérez Tabernero, José Riesgo, Umberto Spadaro, Peter Tevis, Edmondo Tieghi, Antonio Vico, Luis Rodríguez, Antonio Montoya",Western,"Westerns, Frontier Guns Wild Showdown Gunfight, Wild Guns Frontier Sheriff Hero, Guns Action Violence Cops Killing, Ruthless Underworld Gritty Stylish Violence","Italian, Italian, Spanish","Jolly Film, Ocean Films, Constantin Film","Germany, Italy, Spain"
42nd Street,1933,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Guy Kibbee, Una Merkel, Ginger Rogers, Ned Sparks, Dick Powell, Allen Jenkins, Edward Nugent, Robert McWade, George E. Stone, Toby Wing, Louise Beavers, Charles Lane, Wallis Clark, Tom Kennedy, Harry Akst, George Irving, Clarence Nordstrum, Jack La Rue, Henry B. Walthall, Jayne Shadduck, Lyle Talbot, Dorothy Coonan Wellman, Dennis O'Keefe, Milton Kibbee","Comedy, Drama, Romance","Song And Dance, Musical Lyrics Broadway Tune Vocals, Dancing Choreography Catchy Tune Lyrics, Comedy Funny Hilarious Broadway Musical",English,Warner Bros Pictures 1,Usa
East of Eden,1955,"James Dean, Julie Harris, Raymond Massey, Richard Davalos, Jo Van Fleet, Burl Ives, Albert Dekker, Lois Smith, Harold Gordon, Nick Dennis, Abdullah Abbas, John Alban, Rose Allen, Frank Baker, Barbara Baxley, John Beradino, Joe Brooks, Nora Bush, Timothy Carey, Jack Carr, Wheaton Chambers, Lonny Chapman, Edward Clark, Harry Cording, Roger Creed, Bryn Davis, Ray Dawe, Anna Dewey, Lester Dorr, Joe Dougherty, Darren Dublin, Franklyn Farnum, Al Ferguson, Cliff Fields, Lloyd Ford, Robert Foulk, Curt Furberg, Robert Gardett, Richard Garrick, John George, Leonard George, Ruth Gillis, John Halloran, Sam Harris, Jonathan Haze, Ramsay Hill, Earle Hodgins, Tex Holden, Diane Howe, Charles Anthony Hughes, Gail Kobe, Effie Laird, Billy Mahan, Mike Marienthal, Frank Mazzola, Philo McCullough, Edward McNally, Ken Miller, Tex Mooney, Ralph Moratz, Robert Morris, Paul Nichols, Artie Ortego, Gil Perkins, William Phillips, Rose Plumer, Patricia Prest, Julian Rivero, Mickey Roth, Henry Rowland, Loretta Rush, Scott Seaton, Sammy Shack, Charles Sherlock, Mario Siletti, Hal Taggart, Bette Treadville, Sid Troy, Sailor Vincent, Max Wagner, Lillian West, Chalky Williams, Diana Deane",Drama,"Moving Relationship Stories, Sad Depressing Illness Heartbreaking Touching, Marriage Drama Family Dramas Melodrama, Family Touching Kids Cry Tear Jerker, Family Moving Heartbreaking Sadness Sad, Touching Cry Family Sad Tear Jerker",English,Warner Bros Pictures 1,Usa
Boyz n the Hood,1991,"Cuba Gooding Jr., Laurence Fishburne, Ice Cube, Morris Chestnut, Angela Bassett, Nia Long, Tyra Ferrell, Alysia Rogers, Regina King, Lexie Bigham, Jessie Lawrence Ferguson, John Cothran, Vonte Sweet, Yolanda Whitaker, Esther Scott, Kareem J. Grimes, John Singleton, Whitman Mayo, Regi Green, Dedrick D. Gobert, Tracey Lewis-Sinclair, Lloyd Avery II, Baldwin C. Sykes, Malcolm Norrington, Raymond Turner, Kirk Kinder, Tammy Hanson, Baha Jackson, Leonette Scott, Desi Arnez Hines II, Donovan McCrary, Nicole Brown, Kenneth A. Brown, Miya McGhee, Raymond D. Turner","Drama, Crime","Crime Drugs And Gangsters, Underdogs And Coming Of Age, Moving Relationship Stories, Intense Violence And Sexual Transgression, Drugs Gritty Cops Violence Powerful, Family Touching Kids Cry Tear Jerker, Murder Crime Drama Gripping Compelling, Family Moving Heartbreaking Sadness Sad, Racism African American Powerful Hatred Or Slavery",English,Columbia Pictures,Usa
Lessons of Darkness,1992,Werner Herzog,"Documentary, War","War And Historical Adventure, Journey Scientific Humanity Breathtaking Documentary","German, Arabic, German","Canal 3, Itel, Premiere","France, Germany, Spain, Uk"
Days and Nights in the Forest,1970,"Soumitra Chatterjee, Samit Bhanja, Subhendu Chatterjee, Sharmila Tagore, Pahadi Sanyal, Kaberi Bose, Simi Garewal, Rabi Ghosh, Aparna Sen",Drama,,Bengali-Bangla,Priya Films,India
Ben-Hur: A Tale of the Christ,1925,"Ramon Novarro, Francis X. Bushman, May McAvoy, Betty Bronson, Claire McDowell, Kathleen Key, Carmel Myers, Nigel De Brulier, Mitchell Lewis, Leo White, Frank Currier, Charles Belcher, Dale Fuller, Winter Hall, Reginald Barker, John Barrymore, Lionel Barrymore, Clarence Brown, Manuel Caballero, Gilbert Clayton, Joan Crawford, Jacob Dance, Marion Davies, William Donovan, Bill Elliott, Ray Erlenborn, Douglas Fairbanks, George Fitzmaurice, Sidney Franklin, Rosita Garcia, Janet Gaynor, John Gilbert, Dorothy Gish, Lillian Gish, Samuel Goldwyn, Harry Gordon, Sid Grauman, William Green, Noble Johnson, Rupert Julian, Henry King, Harold Lloyd, Carole Lombard, Cliff Lyons, Mickey Millerick, Carlotta Monti, Colleen Moore, Claude Payton, Mary Pickford, Satini Pualoa, Leonora Summers, Tom Tyler, Christiane Yves, Gary Cooper, Clark Gable, Myrna Loy","Drama, Adventure, Romance","Epic History And Literature, Fought Army Fighting Heroic Battle",No-Spoken-Language,Metro Goldwyn Mayer 1,"Italy, Usa"
Zulu,1964,"Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth, Michael Caine, Nigel Green, Paul Daneman, Patrick Magee, Glynn Edwards, Neil McCarthy, David Kernan, Gary Bond, Richard Burton, Mangosuthu Buthelezi, Kerry Jordan, Dennis Folbigge, Gert Van den Bergh, Harvey Hall, John Sullivan, Joe Powell, Larry Taylor, Dickie Owen, Dafydd Havard, Denys Graham, Richard Davies, Tom Gerrard, Peter Gill, Ivor Emmanuel, Simon Sabela","Action, War, History, Drama","Epic History And Literature, War And Historical Adventure, Epic Heroes, Fought Army Fighting Heroic Battle, Fought Army Battlefield Conflict Battle, Epic Exciting Breathtaking Spectacle Excitement, Duty Heroic Battle Pilot Patriotism, Historical Propaganda Political Patriotism Historic","English, English, Zulu",Diamond Films Uk,"South-Africa, Uk"
L'Âge d'Or,1930,"Gaston Modot, Lya Lys, Caridad de Laberdesque, Max Ernst, Josep Llorens Artigas, Lionel Salem, Germaine Noizet, Duchange, Bonaventura Ibáñez, Jean Aurenche, Jacques Brunius, Luis Buñuel, Jean Castanier, Juan Castañe, Pancho Cossío, Simone Cottance, Marie Berthe Ernst, Juan Esplandiu, Pedro Flores, Claude Heymann, Valentine Hugo, Jean-Paul Le Chanois, Marval, Juan Ramón Masoliver, Jaume Miravitlles, Manuel Ángeles Ortiz, Jaime Otero, Joaquin Peinado, Roland Penrose, Valentine Penrose, Domingo Pruña, Jacques Prévert, Pierre Prévert, Joaquín Roa, Raymond de Sarka, Paul Éluard","Romance, Drama, Comedy","Humanity And The World Around Us, Intense Violence And Sexual Transgression, Faith And Religion, Powerful Complexity Intellectual Poetic Emotional, Sexuality Sex Disturbed Unconventional Or Challenging, Death Symbolism Philosophical Thought Provoking Surreal, Spiritual Faith Catholic Beliefs Church, Sex Sexuality Erotic Sensual Desire",French,Vicomte De Noailles,France
Ossessione,1943,"Clara Calamai, Massimo Girotti, Dhia Cristiani, Elio Marcuzzo, Vittorio Duse, Michele Riccardini, Juan de Landa, Michele Sakara","Drama, Crime, Romance","Moving Relationship Stories, Marriage Romance Affair Passionate Passion, Sex Sexuality Erotic Sensual Desire, Powerful Complexity Intellectual Poetic Emotional, Marriage Drama Family Dramas Melodrama, Family Moving Heartbreaking Sadness Sad",Italian,Industrie Cinematografiche Italiane Ici,Italy
The Ladykillers,1955,"Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers, Danny Green, Katie Johnson, Jack Warner, Philip Stainton, Frankie Howerd, Madge Brindley, Hélène Burls, Kenneth Connor, Michael Corcoran, Harold Goodwin, Fred Griffiths, Lucy Griffiths, George Hilsdon, Vincent Holman, Stratford Johns, Sam Kydd, Edie Martin, Jack Melford, Arthur Mullard, Ewan Roberts, George Roderick, John Rudling, Leonard Sharp, Peter Williams, Neil Wilson, Phoebe Hodgson","Comedy, Crime","Crude Humor And Satire, Humor Satire Jokes Amusing Humorous, Gag Chuckles Slapstick Amusing Jokes, Robbery Heist Cops Twist Thriller, Horror Spooky Scary Comical Creepy, Comedy Funny Hilarious Broadway Musical",English,"Ealing Studios, Michael Balcon Productions",Uk
Repentance,1987,"Avtandil Makharadze, Iya Ninidze, Zeinab Botsvadze, Ketevan Abuladze, Edisher Giorgobiani, Kakhi Kavsadze, Merab Ninidze, Nino Zaqariadze, Nano Ochigava","Drama, Comedy","Faith And Religion, Death Symbolism Philosophical Thought Provoking Surreal, Historical Propaganda Political Patriotism Historic, Spiritual Faith Catholic Beliefs Church, Family Moving Heartbreaking Sadness Sad, Documentary Sad Fascinating Emotional Heartbreaking","Georgian, Georgian, German, Italian","Sovexportfilm, Georgia Film",Ussr
My Voyage to Italy,1999,Martin Scorsese,Documentary,,"Italian, Italian, English","Mediatrade, Cappa Productions","Usa, Italy"
Portrait of a Lady on Fire,2019,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino, Christel Baras, Armande Boulanger, Guy Delamarche, Clément Bouyssou, Michèle Clément, Cécile Morel","Drama, Romance","Moving Relationship Stories, Humanity And The World Around Us, Marriage Romance Affair Passionate Passion, Romance Captivating Loves Lover Beauty, Sex Sexuality Erotic Sensual Desire, Powerful Complexity Intellectual Poetic Emotional, Moving Sadness Beauty Tragic Heartbreaking","French, Italian, French","Lilies Films, Arte France Cinema 5, Hold Up Films",France
The Color Purple,1985,"Whoopi Goldberg, Danny Glover, Margaret Avery, Oprah Winfrey, Willard E. Pugh, Akosua Busia, Desreta Jackson, Adolph Caesar, Rae Dawn Chong, Dana Ivey, Leonard Jackson, Bennet Guillory, John Patton Jr., Carl Anderson, Susan Beaubian, James Tillis, Phillip Strong, Laurence Fishburne, Peto Kinsaka, Lelo Masamba, Margaret Freeman, Howard Starr, Daphaine Oliver, Jadili Johnson, Lillian Njoki Distefano, Donna Buie, Leon Rippy, John R. Hart, David Thomas, Carrie Murphy, Juliet Poe, Katie Simon, Ethel Taylor, Marcus Covington, Marcus Liles, April Myers, Maurice Moore, Lechanda Latharp, Drew Bundini Brown, Arnold F. Turner, Jeris Poindexter, Hawthorne James, Sonny Terry, Greg Phillinganes, Roy Gaines, Paulinho da Costa, Nana Yaw Asiedu, Clarence Avant, Bayo Martin, Ndugu Chandler, Jeffrey Kwashi, Pete Munzhi, Aniijia Rae Schockley, Maria Howell, Gayle King","Drama, History","Moving Relationship Stories, Sad Depressing Illness Heartbreaking Touching, Touching Cry Family Sad Tear Jerker, Family Moving Heartbreaking Sadness Sad, Racism African American Powerful Hatred Or Slavery, Family Touching Kids Cry Tear Jerker","English, Spanish, English, Portuguese","Amblin Entertainment, Warner Bros Pictures 1, Guber Peters Company",Usa
Kiki's Delivery Service,1989,"Minami Takayama, Rei Sakuma, Kappei Yamaguchi, Keiko Toda, Mieko Nobusawa, Koichi Miura, Haruko Katō, Hiroko Seki, Yuriko Fuchizaki, Koichi Yamadera, Kikuko Inoue, Yuko Kobayashi, Mika Doi, Takaya Hashi, Chika Sakamoto, Yoshiko Asai, Hiroko Maruyama, Shinpachi Tsuji, Yuko Maruyama, Masa Saitō, Yuko Tsuga, Tomomichi Nishimura, Akio Otsuka, Yoshiko Kamei, Keiko Kagimoto, Takashi Taguchi, Michihiro Ikemizu","Family, Fantasy, Animation","Anime Graphics Storytelling Emotion Breathtaking, Fantasy Imaginative Magic Fairy Tale Or Enchanted, Dog Animals Adorable Heartwarming Family, Humor Cartoon Funny Jokes Lovable, Romance Captivating Loves Lover Beauty",Japanese,"Studio Ghibli, Nibariki, Studio Fuga, Tokuma Shoten, Nippon Television Network Corporation",Japan
The Look of Silence,2014,"Adi Rukun, M.Y. Basrun, Amir Hasan, Inong, Kemat, Joshua Oppenheimer, Amir Siahaan, Ted Yates","History, Documentary","Politics And Human Rights, Murder Crime Drama Gripping Compelling, Documentary Propaganda Democracy Politician Patriot, Racism African American Powerful Hatred Or Slavery","French, French, Indonesian","Making Movies 1, Final Cut For Real, Piraya Film, Spring Films, Anonymous 11, Britdoc Foundation, Participant 1","Denmark, Finland, Indonesia, Norway, Uk, Usa"
Petite Maman,2021,"Joséphine Sanz, Gabrielle Sanz, Nina Meurisse, Stéphane Varupenne, Margot Abascal, Florès Cardo, Josée Schuller, Guylène Péan","Drama, Fantasy","Moving Relationship Stories, Family Touching Kids Cry Tear Jerker, Touching Cry Family Sad Tear Jerker, Romance Captivating Loves Lover Beauty, Sad Depressing Illness Heartbreaking Touching, Family Moving Heartbreaking Sadness Sad","French, French, English, Portuguese","Canal 3, Cine 2, Lilies Films, France Televisions 2, France 3 Cinema 1",France
Le Corbeau,1943,"Pierre Fresnay, Ginette Leclerc, Micheline Francey, Héléna Manson, Jeanne Fusier-Gir, Sylvie, Liliane Maigné, Pierre Larquey, Noël Roquevert, Bernard Lancret, Antoine Balpêtré, Jean Brochard, Pierre Bertin, Louis Seigner, Roger Blin, Robert Clermont, Pierre Palau, Marcel Delaître","Crime, Mystery, Drama","Politics And Human Rights, Powerful Complexity Intellectual Poetic Emotional, Terrorism Thriller Gripping Intense Political, Spy Intrigue Thriller Suspense Tense, Murderer Clues Suspects Suspense Intriguing, Nazi Hitler Jewish Historical Holocaust",French,Continental Films,France
Hunger,1966,"Per Oscarsson, Gunnel Lindblom, Birgitte Federspiel, Knud Rex, Hans W. Petersen, Henki Kolstad, Roy Bjørnstad, Sverre Hansen, Pål Skjønberg, Else Heiberg, Lise Fjeldstad, Carl Ottosen, Osvald Helmuth, Bjarne Andersen, Wilfred Breistrand",Drama,,"Danish, Danish, Swedish, Norwegian","Studio Abc, Sandrews, Svenska Filminstitutet 1","Denmark, Sweden, Norway"
Coal Miner's Daughter,1980,"Sissy Spacek, Tommy Lee Jones, Levon Helm, Beverly D'Angelo, William Sanderson, Phyllis Boyens, Bill Anderson Jr., Foister Dickerson, Malla McCown, Pamela McCown, Kevin Salvilla, Sissy Lucas, Brian Warf, Elizabeth Watson, Bob Elkins, Bob Hannah, Ernest Tubb, Jennifer Beasley, Frank Mitchell, Roy Acuff, Minnie Pearl, Susan Kingsley","Music, Drama","Song And Dance, Biography Artists Musician Songs Emotional, Band Songs Concert Musician Lyrics, Musical Lyrics Broadway Tune Vocals",English,Universal Pictures,Usa
Scrooge,1951,"Alastair Sim, Mervyn Johns, Glyn Dearman, George Cole, Brian Worth, Michael Hordern, Kathleen Harrison, Rona Anderson, Jack Warner, Michael Dolan, Francis de Wolff, Carol Marsh, Hermione Baddeley, John Charlesworth, Miles Malleson, Ernest Thesiger, Olga Edwardes, Roddy Hughes, Hattie Jacques, Eleanor Summerfield, Louise Hampton, Czeslaw Konarski, Eliot Makeham, Peter Bull, Douglas Muir, Noel Howlett, Fred Johnson, Henry Hewitt, Hugh Dempster, David Hannaford, Maire O'Neill, Richard Pearson, Patrick Macnee, Clifford Mollison, Moiya Kelly, Tony Wager","Fantasy, Drama","Moving Relationship Stories, Supernatural Chilling Eerie Terrifying Dread",English,George Minter Productions,Uk
The Flavor of Green Tea Over Rice,1952,"Shin Saburi, Michiyo Kogure, Koji Tsuruta, Chikage Awashima, Keiko Tsushima, Eijirō Yanagi, Kuniko Miyake, Kôji Shitara, Chishū Ryū, Yūko Mochizuki, Hisao Toake, Yōko Kozono, Matsuko Shiga, Mie Kitahara, Etsuko Miyama, Tami Yamamoto, Jun Tanizaki, Tomoka Hasebe, Toshinosuke Nagao",Drama,,"Japanese, French, Japanese, Latin",Shochiku 2,Japan
The Fabulous Baron Munchausen,1962,"Miloš Kopecký, Jana Brejchová, Rudolf Jelínek, Karel Höger, Jan Werich, Rudolf Hrušínský, Eduard Kohout, Bohuš Záhorský, Karel Effa, Naděžda Blažíčková, František Šlégr, Josef Hlinomaz, Zdeněk Hodr, Richard Záhorský, Otto Šimánek, Václav Trégl, Jan Libíček, Jarka Pižla, Miloslav Holub, Miroslav Homola, Vítězslav Černý, Ladislav Gzela, Antonín Soukup, Josef Langmiler, Oldřich Musil","Animation, Adventure, Fantasy, Comedy",,Czech,Kratky Film Praha Filmove Studio Gottwaldov,Czechoslovakia
The Foster Brothers,1976,"Kemal Sunal, Halit Akçatepe, Adile Naşit, Şener Şen, Ayşen Gruda, Hale Soygazi, Ergin Orbey, Jale Altuğ, Yasemin Esmergül, Ali Şen, Dinçer Çekmez, Türker Tekin, Murat Tok, Akif Kilman, Feridun Çölgeçen, Taci Ersan, Mehmet Özekit, Enis Fosforoğlu, Aliye Uzunatağan, Rıza Tüzün, Hayri Esen, Ata Saka","Family, Comedy",,Turkish,Arzu Film,Turkey
Full Metal Jacket,1987,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey, Dorian Harewood, Arliss Howard, Kevyn Major Howard, Ed O'Ross, John Terry, Bruce Boa, Kieron Jecchinis, Jon Stafford, Tim Colceri, Peter Edmund, Kirk Taylor, Ian Tyler, Gary Landon Mills, Sal Lopez, Papillon Soo, Ngoc Le, Tan Hung Francione, Marcus D'Amico, Costas Dino Chimona, Keith Hodiak, Peter Merrill, Herbert Norville, Leanne Hong, Duc Hu Ta, Nguyen Hue Phong, Gil Kopel, Philip Bailey, Robert E. Hartenberger, Steve Hudson, John Curtis, Del Anderson, Chris Maybach, Gary Smith, Michael Anthony Williams, John Wilson, Kevin Albridge, Martin Adams, Louis Barlotti, John Beddows, Patrick Benn, Steve Boucher, Adrian Bush, Gary Cheeseman, Tony Carey, Wayne Clark, Chris Cornibert, Danny Cornibert, John Davis, Harry Davies, Gordon Duncan, Phil Elmer, Colin Elvis, Hadrian Follett, Sean Frank, Vivian Kubrick, Stanley Kubrick, David Palffy, John Ward, David George","Drama, War","War And Historical Adventure, Humanity And The World Around Us, Intense Violence And Sexual Transgression, Fought Army Battlefield Conflict Battle, Duty Heroic Battle Pilot Patriotism, Guns Action Violence Cops Killing, Sexuality Sex Disturbed Unconventional Or Challenging, Historical Propaganda Political Patriotism Historic","English, English, Vietnamese","Natant, Stanley Kubrick Productions, Warner Bros Pictures 1","Uk, Usa"
Thalapathi,1991,"Rajinikanth, Mammootty, Arvind Swamy, Srividya, Jaishankar, Amrish Puri, Shobana, Geetha, Bhanupriya, Nirmalamma, Nagesh, Kitty, Charu Haasan, Manoj K Jayan, Thalapathi Dinesh, Sonu Walia, Tarun, Cheenu Mohan","Crime, Action, Drama",,Tamil,G V Films,India
Through the Olive Trees,1994,"Mohammadali Keshavarz, Farhad Kheradmand, Zarifeh Shiva, Hossein Rezai, Tahereh Ladanian, Hocine Redai, Zahra Nourou, Nasret Betri, Azim Aziz Nia, Astadouli Babani, N. Boursadiki, Kheda Barech Defai, Ahmed Ahmed Poor, Babek Ahmed Poor, Mahbanou Darabi, Kardouni Nouri, Hossein Jafarian, Jafar Panahi, Abbas Kiarostami",Drama,"Humanity And The World Around Us, Romance Captivating Loves Lover Beauty, Marriage Romance Affair Passionate Passion, Death Symbolism Philosophical Thought Provoking Surreal, Charming Witty Delightful Lovely Charm, Anime Graphics Storytelling Emotion Breathtaking",Persianfarsi,"Ciby 2000, Abbas Kiarostami Productions, Farabi Cinema","Iran, France"
Perfect Blue,1997,"Junko Iwao, Rica Matsumoto, Shiho Niiyama, Masaaki Okura, Shinpachi Tsuji, Emiko Furukawa, Yosuke Akimoto, Yoku Shioya, Hideyuki Hori, Emi Shinohara, Masashi Ebara, Kiyoyuki Yanada, Toru Furusawa, Teiya Ichiryusai, Shin-ichiro Miki, Megumi Tano, Emi Motoi, Akio Suyama, Osamu Hosoi, Koichi Tochika, Soichiro Hoshi, Kisho Taniyama, Shokkâ Ôno, Rofuto Purasu Wan Burazâzu, Makoto Kitano, Kaori Minami, Jin Yamanoi, Takashi Nagasako","Thriller, Animation","Intense Violence And Sexual Transgression, Horror The Undead And Monster Classics, Thriller Suspense Twist Psychological Intriguing, Supernatural Chilling Eerie Terrifying Dread, Eerie Blood Gothic Mysterious Bizarre, Killing Slasher Gruesome Gory Bloody, Weird Surreal Dream Bizarre Confusing",Japanese,"Madhouse 1, Rex Entertainment 1, Kotobuki Seihan Printing, Asahi Broadcasting Corporation, Fangs Co",Japan
